typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,sector
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520921,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,179724.0,True,-1,N/A,,False,179724.0,True,,False,,2392046.0,2392046.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520922,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,729638.0,True,-1,N/A,,False,729638.0,True,,False,,5399210.0,5399210.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520929,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, of weaves n.e.c. in item no. 5209.2, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,718838.0,True,-1,N/A,,False,718838.0,True,,False,,6161673.0,6161673.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520931,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2018828.0,True,-1,N/A,,False,2018828.0,True,,False,,18561801.0,18561801.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520932,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7119244.0,True,-1,N/A,,False,7119244.0,True,,False,,57971801.0,57971801.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520939,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, of weaves n.e.c. in item no. 5209.3, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2637204.0,True,-1,N/A,,False,2637204.0,True,,False,,26544319.0,26544319.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520941,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, plain weave, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,311892.0,True,-1,N/A,,False,311892.0,True,,False,,3182607.0,3182607.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520942,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 200g/m2, denim",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29156810.0,True,-1,N/A,,False,29156810.0,True,,False,,222636310.0,222636310.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520943,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1409581.0,True,-1,N/A,,False,1409581.0,True,,False,,12108758.0,12108758.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520949,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.c. in item no. 5209.4, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,58770.0,True,-1,N/A,,False,58770.0,True,,False,,596052.0,596052.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520951,"Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,475497.0,True,-1,N/A,,False,475497.0,True,,False,,5462864.0,5462864.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520952,"Fabrics, woven; containing 85% or more by weight of cotton, printed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,96023.0,True,-1,N/A,,False,96023.0,True,,False,,1162150.0,1162150.0,6,True,False,textiles
